INDIVID_ID,DATE,SPECIES,LIFE_STAGE,REEF,SITE,ZONING,FL,TL,LAT,LONG,YEAR,PlateID,Plate,Well
P.juv_01616,2021-03-26,P. maculatus,Juvenile,Barren Island,BA2,Blue,NA,157,-23.159,151.075,2021,PmJuv01_A01,PmJuv01,A01
P.juv_01617,2021-03-26,P. maculatus,Juvenile,Barren Island,BA2,Blue,NA,128,-23.159,151.075,2021,PmJuv01_A02,PmJuv01,A02
P.juv_01618,2021-03-26,P. maculatus,Juvenile,Barren Island,BA2,Blue,NA,95,-23.159,151.075,2021,PmJuv01_A03,PmJuv01,A03
P.juv_01619,2021-03-26,P. maculatus,Juvenile,Barren Island,BA2,Blue,NA,129,-23.159,151.075,2021,PmJuv01_A04,PmJuv01,A04
P.juv_01620,2021-03-26,P. maculatus,Juvenile,Barren Island,BA2,Blue,NA,228,-23.159,151.075,2021,PmJuv01_A05,PmJuv01,A05
P.juv_01621,2021-03-27,P. maculatus,Juvenile,Middle Island,M4,Green,NA,65,-23.168,150.922,2021,PmJuv01_A06,PmJuv01,A06
P.juv_01622,2021-03-27,P. maculatus,Juvenile,Middle Island,M4,Green,NA,113,-23.168,150.922,2021,PmJuv01_A07,PmJuv01,A07
P.juv_01623,2021-03-28,P. maculatus,Juvenile,Bald Rock,GK3,Blue,232,243,-23.17,150.99,2021,PmJuv01_A08,PmJuv01,A08
P.juv_01624,2021-03-28,P. maculatus,Juvenile,Bald Rock,GK3,Blue,126,131,-23.17,150.99,2021,PmJuv01_A09,PmJuv01,A09
P.juv_01625,2021-03-28,P. maculatus,Juvenile,Bald Rock,GK3,Blue,131,136,-23.17,150.99,2021,PmJuv01_A10,PmJuv01,A10
P.juv_01626,2021-03-29,P. maculatus,Juvenile,Bald Rock,GK3,Blue,166,175,-23.17,150.99,2021,PmJuv01_A11,PmJuv01,A11
P.juv_01627,2021-03-29,P. maculatus,Juvenile,Bald Rock,GK3,Blue,126,127,-23.17,150.99,2021,PmJuv01_A12,PmJuv01,A12
P.juv_01628,2021-03-29,P. maculatus,Juvenile,Bald Rock,GK3,Blue,82,84,-23.17,150.99,2021,PmJuv01_B02,PmJuv01,B02
P.juv_01629,2021-03-28,P. maculatus,Juvenile,Bald Rock,GK3,Blue,70,70,-23.17,150.99,2021,PmJuv01_B03,PmJuv01,B03
P.juv_01630,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,199,210,-23.201,150.966,2021,PmJuv01_B04,PmJuv01,B04
P.juv_01631,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,195,205,-23.201,150.966,2021,PmJuv01_B05,PmJuv01,B05
P.juv_01632,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,201,214,-23.201,150.966,2021,PmJuv01_B06,PmJuv01,B06
P.juv_01633,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,126,132,-23.201,150.966,2021,PmJuv01_B07,PmJuv01,B07
P.juv_01634,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,108,112,-23.201,150.966,2021,PmJuv01_B08,PmJuv01,B08
P.juv_01635,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,124,127,-23.201,150.966,2021,PmJuv01_B09,PmJuv01,B09
P.juv_01636,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,200,211,-23.201,150.966,2021,PmJuv01_B10,PmJuv01,B10
P.juv_01637,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,260,276,-23.201,150.966,2021,PmJuv01_B11,PmJuv01,B11
P.juv_01638,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,236,248,-23.201,150.966,2021,PmJuv01_B12,PmJuv01,B12
P.juv_01639,2021-03-30,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,90,94,-23.201,150.966,2021,PmJuv01_C01,PmJuv01,C01
P.juv_01640,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,84,86,-23.215,150.969,2021,PmJuv01_C02,PmJuv01,C02
P.juv_01641,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,85,87,-23.215,150.969,2021,PmJuv01_C03,PmJuv01,C03
P.juv_01642,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,100,104,-23.215,150.969,2021,PmJuv01_C04,PmJuv01,C04
P.juv_01643,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,127,132,-23.215,150.969,2021,PmJuv01_C05,PmJuv01,C05
P.juv_01644,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,99,104,-23.215,150.969,2021,PmJuv01_C06,PmJuv01,C06
P.juv_01645,2021-03-30,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,120,125,-23.215,150.969,2021,PmJuv01_C07,PmJuv01,C07
P.juv_01646,2021-03-30,P. maculatus,Juvenile,Clam Bay,GK5,Green,200,212,-23.188,150.979,2021,PmJuv01_C08,PmJuv01,C08
P.juv_01647,2021-03-31,P. maculatus,Juvenile,Middle Island,M4,Green,95,100,-23.168,150.922,2021,PmJuv01_C09,PmJuv01,C09
