INDIVID_ID,LIFE_STAGE,PLATE_ID,WELL_ID,TISSUE,WP_ID
P.ad_5024,Adult,PMAd21_01,A01,fin,PMAd21_01 A01
P.ad_5025,Adult,PMAd21_01,A02,fin,PMAd21_01 A02
P.ad_5112,Adult,PMAd21_01,A03,fin,PMAd21_01 A03
P.ad_5131,Adult,PMAd21_01,A04,fin,PMAd21_01 A04
P.ad_5182,Adult,PMAd21_01,A05,fin,PMAd21_01 A05
P.ad_5183,Adult,PMAd21_01,A06,fin,PMAd21_01 A06
P.ad_5184,Adult,PMAd21_01,A07,fin,PMAd21_01 A07
P.ad_5185,Adult,PMAd21_01,A08,fin,PMAd21_01 A08
P.ad_5186,Adult,PMAd21_01,A09,fin,PMAd21_01 A09
P.ad_5223,Adult,PMAd21_01,A10,fin,PMAd21_01 A10
P.ad_5235,Adult,PMAd21_01,A11,fin,PMAd21_01 A11
P.ad_5246,Adult,PMAd21_01,A12,fin,PMAd21_01 A12
P.ad_5265,Adult,PMAd21_01,B01,"muscle, fin",PMAd21_01 B01
P.ad_5271,Adult,PMAd21_01,B02,fin,PMAd21_01 B02
P.ad_5280,Adult,PMAd21_01,B03,"muscle, fin",PMAd21_01 B03
P.ad_5322,Adult,PMAd21_01,B04,fin,PMAd21_01 B04
P.ad_5323,Adult,PMAd21_01,B05,fin,PMAd21_01 B05
P.ad_5382,Adult,PMAd21_01,B06,fin,PMAd21_01 B06
P.ad_5386,Adult,PMAd21_01,B07,fin,PMAd21_01 B07
P.ad_5387,Adult,PMAd21_01,B08,fin,PMAd21_01 B08
P.ad_5388,Adult,PMAd21_01,B09,fin,PMAd21_01 B09
P.ad_5389,Adult,PMAd21_01,B10,fin,PMAd21_01 B10
P.ad_5390,Adult,PMAd21_01,B11,fin,PMAd21_01 B11
P.ad_5410,Adult,PMAd21_01,B12,"fin, muscle",PMAd21_01 B12
P.ad_5422,Adult,PMAd21_01,C01,fin,PMAd21_01 C01
P.ad_5424,Adult,PMAd21_01,C02,fin,PMAd21_01 C02
P.ad_5435,Adult,PMAd21_01,C03,fin,PMAd21_01 C03
P.ad_5467,Adult,PMAd21_01,C04,fin,PMAd21_01 C04
P.ad_5491,Adult,PMAd21_01,C05,fin,PMAd21_01 C05
P.ad_5492,Adult,PMAd21_01,C06,fin,PMAd21_01 C06
P.ad_5493,Adult,PMAd21_01,C07,fin,PMAd21_01 C07
P.ad_5494,Adult,PMAd21_01,C08,fin,PMAd21_01 C08
P.ad_5495,Adult,PMAd21_01,C09,fin,PMAd21_01 C09
P.ad_5544,Adult,PMAd21_01,C10,"fin, muscle",PMAd21_01 C10
P.ad_5585,Adult,PMAd21_01,C11,fin,PMAd21_01 C11
P.ad_5593,Adult,PMAd21_01,C12,fin,PMAd21_01 C12
P.ad_5594,Adult,PMAd21_01,D01,fin,PMAd21_01 D01
P.ad_5595,Adult,PMAd21_01,D02,fin,PMAd21_01 D02
P.ad_5622,Adult,PMAd21_01,D03,fin,PMAd21_01 D03
P.ad_5623,Adult,PMAd21_01,D04,fin,PMAd21_01 D04
P.ad_5624,Adult,PMAd21_01,D05,fin,PMAd21_01 D05
P.ad_5625,Adult,PMAd21_01,D06,fin,PMAd21_01 D06
P.ad_5626,Adult,PMAd21_01,D07,fin,PMAd21_01 D07
P.ad_5627,Adult,PMAd21_01,D08,fin,PMAd21_01 D08
P.ad_5662,Adult,PMAd21_01,D09,fin,PMAd21_01 D09
P.ad_5671,Adult,PMAd21_01,D10,fin,PMAd21_01 D10
P.ad_5680,Adult,PMAd21_01,D11,fin,PMAd21_01 D11
P.ad_5706,Adult,PMAd21_01,D12,fin,PMAd21_01 D12
Empty,NA,PMAd21_01,E01,Nil,PMAd21_01 E01
P.ad_5713,Adult,PMAd21_01,E02,fin,PMAd21_01 E02
P.ad_5714,Adult,PMAd21_01,E03,fin,PMAd21_01 E03
P.ad_5715,Adult,PMAd21_01,E04,fin,PMAd21_01 E04
P.ad_5716,Adult,PMAd21_01,E05,fin,PMAd21_01 E05
P.ad_5724,Adult,PMAd21_01,E06,fin,PMAd21_01 E06
P.ad_5725,Adult,PMAd21_01,E07,fin,PMAd21_01 E07
P.ad_5726,Adult,PMAd21_01,E08,fin,PMAd21_01 E08
P.ad_5748,Adult,PMAd21_01,E09,fin,PMAd21_01 E09
P.ad_5781,Adult,PMAd21_01,E10,fin,PMAd21_01 E10
P.ad_5814,Adult,PMAd21_01,E11,fin,PMAd21_01 E11
P.ad_5815,Adult,PMAd21_01,E12,fin,PMAd21_01 E12
P.ad_5816,Adult,PMAd21_01,F01,fin,PMAd21_01 F01
P.ad_5001,Adult,PMAd21_02,A01,muscle,PMAd21_02 A01
P.ad_5002,Adult,PMAd21_02,A02,muscle,PMAd21_02 A02
P.ad_5004,Adult,PMAd21_02,A03,muscle,PMAd21_02 A03
Empty,NA,PMAd21_02,A04,muscle,PMAd21_02 A04
P.ad_5007,Adult,PMAd21_02,A05,"scale, muscle",PMAd21_02 A05
P.ad_5008,Adult,PMAd21_02,A06,"scale, muscle",PMAd21_02 A06
P.ad_5009,Adult,PMAd21_02,A07,muscle,PMAd21_02 A07
P.ad_5010,Adult,PMAd21_02,A08,muscle,PMAd21_02 A08
P.ad_5011,Adult,PMAd21_02,A09,muscle,PMAd21_02 A09
P.ad_5013,Adult,PMAd21_02,A10,"scale, muscle",PMAd21_02 A10
P.ad_5016,Adult,PMAd21_02,A11,muscle,PMAd21_02 A11
P.ad_5019,Adult,PMAd21_02,A12,muscle,PMAd21_02 A12
P.ad_5020,Adult,PMAd21_02,B01,muscle,PMAd21_02 B01
P.ad_5021,Adult,PMAd21_02,B02,muscle,PMAd21_02 B02
P.ad_5022,Adult,PMAd21_02,B03,muscle,PMAd21_02 B03
P.ad_5023,Adult,PMAd21_02,B04,muscle,PMAd21_02 B04
P.ad_5026,Adult,PMAd21_02,B05,muscle,PMAd21_02 B05
P.ad_5027,Adult,PMAd21_02,B06,muscle,PMAd21_02 B06
P.ad_5028,Adult,PMAd21_02,B07,"scale, muscle",PMAd21_02 B07
P.ad_5029,Adult,PMAd21_02,B08,muscle,PMAd21_02 B08
P.ad_5030,Adult,PMAd21_02,B09,muscle,PMAd21_02 B09
P.ad_5033,Adult,PMAd21_02,B10,muscle,PMAd21_02 B10
P.ad_5034,Adult,PMAd21_02,B11,muscle,PMAd21_02 B11
P.ad_5035,Adult,PMAd21_02,B12,muscle,PMAd21_02 B12
P.ad_5036,Adult,PMAd21_02,C01,muscle,PMAd21_02 C01
P.ad_5037,Adult,PMAd21_02,C02,muscle,PMAd21_02 C02
